Keyword                    ,low,high    ,type               ,scope,source     ,table     ,comments__20160617,,
MISSION                         ,1,1,Enumerated         ,m,CAA        ,3,,,
PARENT_MISSION                  ,1,1,Enumerated         ,,CAA        ,3,,,
MISSION_TIME_SPAN               ,1,1,ISO_TIME_RANGE     ,m,CAA        ,3,,,
MISSION_AGENCY                  ,1,1,Enumerated         ,m,CAA        ,3,ESA>European Space Agency (ignore after > ),,
MISSION_DESCRIPTION             ,1,N,String             ,m,CAA        ,3,,,
MISSION_KEY_PERSONNEL           ,1,N,String             ,m,CAA        ,3,updated x->String (Name > role > email address),,
MISSION_REFERENCES              ,1,N,String             ,m,CAA        ,3,update Logical -> String,,
MISSION_REGION                  ,1,N,Enumerated         ,m,CAA        ,3,,,
MISSION_CAVEATS                 ,0,N,String             ,m,CAA        ,3,,,
OBSERVATORY                     ,1,1,Enumerated         ,m,CAA        ,4,,,
PARENT_OBSERVATORY              ,0,1,Enumerated         ,,CAA        ,4,,,
OBSERVATORY_DESCRIPTION         ,1,N,String             ,m,CAA        ,4,,,
OBSERVATORY_TIME_SPAN           ,1,1,ISO_TIME_RANGE     ,m,CAA        ,4,,,
OBSERVATORY_REGION              ,1,N,Enumerated         ,m,CAA        ,4,,,
OBSERVATORY_CAVEATS             ,0,N,String             ,m,CAA        ,4,,,
EXPERIMENT                      ,1,1,Enumerated         ,m,PI         ,5,,,
PARENT_EXPERIMENT               ,0,1,Enumerated         ,,CAA        ,5,,,
EXPERIMENT_DESCRIPTION          ,1,N,String             ,m,PI         ,5,,,
EXPERIMENT_REFERENCES           ,1,N,String             ,m,PI         ,5,update Logical -> String,,
INVESTIGATOR_COORDINATES        ,1,N,String             ,m,PI         ,5,,,
EXPERIMENT_KEY_PERSONNEL        ,1,N,String             ,m,PI         ,5,,,
EXPERIMENT_CAVEATS              ,0,N,String             ,m,PI         ,5,,,
INSTRUMENT_NAME                 ,1,1,Enumerated         ,m,PI,6,,,
PARENT_INSTRUMENT               ,1,1,Enumerated         ,,PI         ,6,,,
INSTRUMENT_DESCRIPTION          ,1,N,String             ,m,PI         ,6,,,
INSTRUMENT_TYPE                 ,1,N,Enumerated         ,m,PI,6,updated from 1_1,,
